"","Year","Month","Day","Hour","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","workdays","Member.type","num"
"1",2019,"Jan",1,0,0,0,0,56,64,44,"Non-workdays","Casual",7
"2",2019,"Jan",1,0,0,0,0,56,64,44,"Non-workdays","Member",53
"3",2019,"Jan",1,1,0,0,0,56,64,44,"Non-workdays","Casual",6
"4",2019,"Jan",1,1,0,0,0,56,64,44,"Non-workdays","Member",101
"5",2019,"Jan",1,2,0,0,0,56,64,44,"Non-workdays","Casual",24
"6",2019,"Jan",1,2,0,0,0,56,64,44,"Non-workdays","Member",78
"7",2019,"Jan",1,3,0,0,0,56,64,44,"Non-workdays","Casual",1
"8",2019,"Jan",1,3,0,0,0,56,64,44,"Non-workdays","Member",24
"9",2019,"Jan",1,4,0,0,0,56,64,44,"Non-workdays","Member",14
"10",2019,"Jan",1,5,0,0,0,56,64,44,"Non-workdays","Member",25
"11",2019,"Jan",1,6,0,0,0,56,64,44,"Non-workdays","Casual",2
"12",2019,"Jan",1,6,0,0,0,56,64,44,"Non-workdays","Member",29
"13",2019,"Jan",1,7,0,0,0,56,64,44,"Non-workdays","Casual",4
"14",2019,"Jan",1,7,0,0,0,56,64,44,"Non-workdays","Member",40
"15",2019,"Jan",1,8,0,0,0,56,64,44,"Non-workdays","Casual",3
"16",2019,"Jan",1,8,0,0,0,56,64,44,"Non-workdays","Member",73
"17",2019,"Jan",1,9,0,0,0,56,64,44,"Non-workdays","Casual",15
"18",2019,"Jan",1,9,0,0,0,56,64,44,"Non-workdays","Member",117
"19",2019,"Jan",1,10,0,0,0,56,64,44,"Non-workdays","Casual",39
"20",2019,"Jan",1,10,0,0,0,56,64,44,"Non-workdays","Member",180
"21",2019,"Jan",1,11,0,0,0,56,64,44,"Non-workdays","Casual",54
"22",2019,"Jan",1,11,0,0,0,56,64,44,"Non-workdays","Member",253
"23",2019,"Jan",1,12,0,0,0,56,64,44,"Non-workdays","Casual",140
"24",2019,"Jan",1,12,0,0,0,56,64,44,"Non-workdays","Member",303
"25",2019,"Jan",1,13,0,0,0,56,64,44,"Non-workdays","Casual",151
"26",2019,"Jan",1,13,0,0,0,56,64,44,"Non-workdays","Member",305
"27",2019,"Jan",1,14,0,0,0,56,64,44,"Non-workdays","Casual",146
"28",2019,"Jan",1,14,0,0,0,56,64,44,"Non-workdays","Member",321
"29",2019,"Jan",1,15,0,0,0,56,64,44,"Non-workdays","Casual",151
"30",2019,"Jan",1,15,0,0,0,56,64,44,"Non-workdays","Member",359
"31",2019,"Jan",1,16,0,0,0,56,64,44,"Non-workdays","Casual",120
"32",2019,"Jan",1,16,0,0,0,56,64,44,"Non-workdays","Member",355
"33",2019,"Jan",1,17,0,0,0,56,64,44,"Non-workdays","Casual",86
"34",2019,"Jan",1,17,0,0,0,56,64,44,"Non-workdays","Member",259
"35",2019,"Jan",1,18,0,0,0,56,64,44,"Non-workdays","Casual",35
"36",2019,"Jan",1,18,0,0,0,56,64,44,"Non-workdays","Member",179
"37",2019,"Jan",1,19,0,0,0,56,64,44,"Non-workdays","Casual",25
"38",2019,"Jan",1,19,0,0,0,56,64,44,"Non-workdays","Member",133
"39",2019,"Jan",1,20,0,0,0,56,64,44,"Non-workdays","Casual",32
"40",2019,"Jan",1,20,0,0,0,56,64,44,"Non-workdays","Member",102
"41",2019,"Jan",1,21,0,0,0,56,64,44,"Non-workdays","Casual",15
