DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
1/1/2019,0,0,0,56,64,44
1/2/2019,0,0,0,46,48,42
1/3/2019,0,0,0,47,51,40
1/4/2019,0.04,0,0,43,50,36
1/5/2019,0.04,0,0,48,54,46
1/6/2019,0,0,0,50,57,39
1/7/2019,0,0,0,39,41,35
1/8/2019,0.24,0,0,45,60,39
1/9/2019,0,0,0,49,54,33
1/10/2019,0,0,0,35,39,30
1/11/2019,0,0,0,33,39,29
1/12/2019,0.13,1.9,0,33,37,30
1/13/2019,0.71,8.3,3.9,31,32,29
1/14/2019,0,0.1,9.8,32,37,27
1/15/2019,0,0,5.9,33,39,25
1/16/2019,0,0,5.1,34,44,24
1/17/2019,0.09,0.9,3.1,38,40,34
1/18/2019,0.02,0.1,3.1,36,41,34
1/19/2019,0.61,0,1.2,39,40,37
1/20/2019,0.19,0,0,40,56,18
1/21/2019,0,0,0,20,24,15
1/22/2019,0,0,0,22,33,16
1/23/2019,0,0,0,38,52,31
1/24/2019,1.03,0,0,51,60,36
1/25/2019,0,0,0,38,44,30
1/26/2019,0,0,0,33,42,26
1/27/2019,0,0,0,37,49,28
1/28/2019,0,0,0,37,40,30
1/29/2019,0.2,0.2,0,35,41,28
1/30/2019,0,0,0,28,39,12
1/31/2019,0,0,0,16,25,10
2/1/2019,0.05,0.9,0,21,24,20
2/2/2019,0,0,1.2,26,41,18
2/3/2019,0,0,0,38,56,28
2/4/2019,0,0,0,44,64,33
2/5/2019,0,0,0,50,74,36
2/6/2019,0.03,0,0,52,58,42
2/7/2019,0,0,0,50,56,46
2/8/2019,0,0,0,51,61,37
2/9/2019,0,0,0,35,37,28
2/10/2019,0.11,0.2,0,33,41,26
2/11/2019,0.35,0,0,36,38,34
2/12/2019,0.68,0,0,37,41,35
2/13/2019,0,0,0,42,51,37
2/14/2019,0,0,0,42,54,32
2/15/2019,0,0,0,53,65,47
2/16/2019,0,0,0,47,52,36
2/17/2019,0.21,0,0,37,41,32
2/18/2019,0.25,0,0,42,52,37
2/19/2019,0,0,0,37,43,29
2/20/2019,0.73,2.6,0,35,37,30
2/21/2019,0,0,2,41,60,34
2/22/2019,0.02,0,0,49,52,43
2/23/2019,0.15,0,0,42,44,39
2/24/2019,0.94,0,0,44,63,39
